Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Evis,www,playback,/watch/81666198?trackId=14170286&tctx=1%2C0%2Cd9f98401-f25b-4e96-b33d-b5fcdf987474-78891598%2CNES_396367A2B2787D777E62DC3F675505-994911DC4F528C-8BAC445FF8_p_1709147160209%2CNES_396367A2B2787D777E62DC3F675505_p_1709147160209%2C%2C%2C%2C%2CVideo%3A81666165%2CminiDpPlayButton,/watch/81666199?trackId=14170286,2024-02-28 21:33:36
Evis,www,playback,/watch/81666199?trackId=14170286,/watch/81666200?trackId=155573558,2024-02-28 21:33:36
Evis,android,browseTitles,,,2024-02-28 20:01:55
Evis,www,playback,/browse,/watch/81666198?trackId=14170286&tctx=1%2C0%2Cd9f98401-f25b-4e96-b33d-b5fcdf987474-78891598%2CNES_396367A2B2787D777E62DC3F675505-994911DC4F528C-8BAC445FF8_p_1709147160209%2CNES_396367A2B2787D777E62DC3F675505_p_1709147160209%2C%2C%2C%2C%2CVideo%3A81666165%2CminiDpPlayButton,2024-02-28 19:59:03
Evis,www,playback,/watch/81666198?trackId=14170286&tctx=1%2C0%2Cd9f98401-f25b-4e96-b33d-b5fcdf987474-78891598%2CNES_396367A2B2787D777E62DC3F675505-994911DC4F528C-8BAC445FF8_p_1709147160209%2CNES_396367A2B2787D777E62DC3F675505_p_1709147160209%2C%2C%2C%2C%2CVideo%3A81666165%2CminiDpPlayButton,/watch/81666199?trackId=14170286,2024-02-28 19:59:03
Evis,android,browseTitles,,,2024-02-28 19:31:55
Evis,www,browseTitles,,/browse,2024-02-28 19:06:06
Evis,www,playback,/browse,/watch/81666198?trackId=14170286&tctx=1%2C0%2Cd9f98401-f25b-4e96-b33d-b5fcdf987474-78891598%2CNES_396367A2B2787D777E62DC3F675505-994911DC4F528C-8BAC445FF8_p_1709147160209%2CNES_396367A2B2787D777E62DC3F675505_p_1709147160209%2C%2C%2C%2C%2CVideo%3A81666165%2CminiDpPlayButton,2024-02-28 19:06:06
Evis,www,profilesGate,,/browse,2024-02-28 19:06:00
Evis,www,browseTitles,,/browse,2024-02-28 19:06:00
Evis,android,browseTitles,,,2024-02-28 19:01:55
Evis,android,browseTitles,,,2024-02-28 18:31:55
Evis,android,browseTitles,,,2024-02-28 18:01:55
Evis,android,browseTitles,,,2024-02-28 17:31:55
Evis,android,browseTitles,,,2024-02-28 17:01:55
Evis,android,playback,,,2024-02-28 16:31:02
Evis,android,browseTitles,,,2024-02-28 16:31:02
Evis,android,playback,,,2024-02-28 16:29:40
Evis,android,browseTitles,,,2024-02-28 16:29:32
Evis,android,browseTitles,,,2024-02-28 16:29:20
Evis,android,browseTitles,,,2024-02-28 16:29:20
Evis,android,browseTitles,,,2024-02-28 16:29:20
Evis,android,profilesGate,,,2024-02-28 15:55:11
Evis,android,profilesGate,,,2024-02-28 15:55:10
Evis,android,profilesGate,,,2024-02-28 15:55:10
Evis,www,browseTitles,/browse,/browse?jbv=81666165,2024-02-28 14:17:39
